
2025/03/29 (19:38:09) | ===> btop++ v.1.4.0
2025/03/29 (19:38:09) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (01:34:17) | ===> btop++ v.1.4.0
2025/03/30 (01:34:17) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (15:59:16) | ===> btop++ v.1.4.0
2025/03/30 (15:59:16) | WARNING: Failed to join _runner thread on exit!

2025/03/30 (16:01:38) | ===> btop++ v.1.4.0
2025/03/30 (16:01:38) | WARNING: Failed to join _runner thread on exit!

2025/04/03 (21:08:37) | ===> btop++ v.1.4.0
2025/04/03 (21:08:37) | WARNING: Failed to join _runner thread on exit!

2025/04/08 (18:39:28) | ===> btop++ v.1.4.0
2025/04/08 (18:39:28) | WARNING: Failed to join _runner thread on exit!

2025/04/09 (15:43:21) | ===> btop++ v.1.4.0
2025/04/09 (15:43:21) | WARNING: Failed to join _runner thread on exit!

2025/04/14 (20:07:39) | ===> btop++ v.1.4.0
2025/04/14 (20:07:39) | WARNING: Failed to join _runner thread on exit!
